Elementos de Programación y Lógica|CI101|
Lectura y Escritura Académica|CI102|
Matemática|CI103|
Introducción a la Programación|NB201|CI101,CI102,CI103
Organización de Computadoras|NB202|CI101,CI102,CI103
Matemática I|NB203|CI101,CI102,CI103
Programación con Objetos I|NB204|CI101,CI102,CI103,NB201
Bases de Datos|NB205|CI101,CI102,CI103,NB203
Estructuras de Datos|NB206|CI101,CI102,CI103,NB201
Programación con Objetos II|NB207|CI101,CI102,CI103,NB204
Redes de Computadoras|NA301|NB202
Sistemas Operativos|NA302|NB202,NB201
Programación Concurrente|NA303|NB206
Matemática II|NA304|NB203
Elementos de Ingeniería de Software|NA305|NB207
Construcción de Interfaces de Usuario|NA306|NB207
Estrategias de Persistencia|NA307|NB207,NB205
Programación Funcional|NA308|NB206
Desarrollo de Aplicaciones|NA309|NA306,NA307,NA305
Laboratorio de Sistemas Operativos y Redes|NA310|NA301,NA302
Inglés I|NI401|
Inglés II|NI402|NI401
Seguridad Informática|NC501|NA310
Participación y Gestión en Proyectos de Software Libre|NC502|
Introducción a las Arquitecturas de Software|NC503|NA303
Práctica de Desarrollo de Software|NC504|
Gestión de Proyectos de Desarrollo de Software|NC505|
Programación con Objetos III|NC506|NB207
Introducción a la Bioinformática|NC507|
Políticas Públicas en la Sociedad de la Información y la Era Digital|NC508|
Seminarios|NC509|
Sistemas de Información Geográfica|NC510|
Bases de Datos II|NC511|NB205
Introducción al Blockchain|NC512|
Introducción al Desarrollo de Videojuegos|NC513|
Trabajo de Inserción Profesional|TIP601|
